id,intents_gold,slots_gold,intents_pred,slots_pred
test_274_2,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O I-party_size_description O B-location O B-datetime I-datetime O
test_442_3,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_321_4,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime B-datetime O B-location O
test_366_7,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_399_6,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_426_1,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_258_1,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_258_2,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_210_3,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_258_3,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_402_3,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_259_2,weather/find,O O B-condition_description B-datetime O B-location O,weather/find,O O B-condition_description B-datetime O B-location O
test_360_2,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_372_5,weather/find,O O O O B-location O,weather/find,O O O O O
test_442_4,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_273_2,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_442_5,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_269_4,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_360_3,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_426_2,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_274_3,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O I-party_size_description O B-location O B-datetime I-datetime O
test_366_8,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_442_6,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_274_4,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O B-served_dish O B-location O B-datetime I-datetime O
test_321_5,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_321_6,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_310_4,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_273_3,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_165_2,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_310_5,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_210_4,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_442_7,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_210_5,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_416_2,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O
test_402_4,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_366_9,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_360_4,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_258_4,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_313_2,weather/find,O B-datetime I-datetime I-datetime O B-location I-location,weather/find,O B-datetime I-datetime I-datetime O B-location I-location
test_273_4,weather/find,O O B-location I-location B-location O B-datetime,weather/find,O O B-location O B-location O B-datetime
test_402_5,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_310_6,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_366_10,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_426_3,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_366_11,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_360_5,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_372_6,weather/find,O O O O B-location O,weather/find,O O O O O
test_372_7,weather/find,O O O O B-location O,weather/find,O O O O O
test_360_6,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_313_3,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_212_4,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_310_7,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_402_6,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_416_3,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O
test_402_7,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_442_8,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_313_4,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_165_3,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_402_8,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_212_5,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_212_6,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_360_7,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_210_6,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_310_8,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_165_4,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_426_4,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_258_5,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_402_9,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_321_7,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_313_5,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_416_4,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O
test_321_8,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_259_3,weather/find,O O B-condition_description B-datetime O B-location O,weather/find,O O B-condition_description B-datetime O B-location O
test_273_5,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_269_5,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_310_9,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_212_7,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_321_9,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_426_5,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_274_5,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O I-party_size_description O B-location O B-datetime I-datetime O
test_399_7,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_274_6,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O B-served_dish O B-location O B-datetime I-datetime O
test_310_10,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_258_6,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_366_12,weather/find,O O B-condition_temperature O B-location I-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location I-location B-datetime I-datetime O
test_273_6,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_259_4,weather/find,O O B-condition_description B-datetime O B-location O,weather/find,O O B-condition_description B-datetime O B-location O
test_165_5,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_321_10,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_372_8,weather/find,O O O O B-location O,weather/find,O O O O O
test_402_10,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_372_9,weather/find,O O O O B-location O,weather/find,O O O O O
test_321_11,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime B-datetime O B-location O
test_210_7,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_442_9,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_310_11,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_416_5,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O
test_313_6,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_321_12,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime B-datetime O B-location O
test_402_11,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_372_10,weather/find,O O O O B-location O,weather/find,O O O O O
test_366_13,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_442_10,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_366_14,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_212_8,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_258_7,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_399_8,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location I-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location I-location
test_210_8,weather/find,O O B-datetime B-weather/attribute O B-location I-location O,weather/find,O O B-datetime B-condition_description O B-location O
test_165_6,weather/find,O O O B-datetime O B-location I-location,weather/find,O O O B-datetime O B-location I-location
test_210_9,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_399_9,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_269_6,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_258_8,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_269_7,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_442_11,weather/find,O O O O B-location I-location B-datetime I-datetime O,weather/find,O O O O B-location I-location B-datetime I-datetime O
test_269_8,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location I-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location I-location O
test_372_11,weather/find,O O O O B-location I-location O,weather/find,O O O O B-location O
test_321_13,weather/find,O O O O B-datetime O B-location I-location O,weather/find,O O O B-datetime I-datetime O B-location I-location O
test_274_7,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location I-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O I-party_size_description O B-location I-location O B-datetime I-datetime O
test_442_12,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_212_9,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_442_13,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_402_12,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_212_10,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_310_12,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_416_6,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O
test_165_7,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_426_6,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_258_9,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_426_7,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_442_14,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_273_7,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_274_8,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O B-served_dish O B-location O B-datetime I-datetime O
test_269_9,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_269_10,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_372_12,weather/find,O O O O B-location O,weather/find,O O O O O
test_313_7,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_321_14,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_165_8,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_212_11,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_399_10,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_402_13,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_310_13,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_360_8,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_273_8,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_313_8,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_416_7,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O,BookRestaurant,O O O B-restaurant_type O B-party_size_number O O B-location O
test_372_13,weather/find,O O O O B-location O,weather/find,O O O O O
test_310_14,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_269_11,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_426_8,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_210_10,weather/find,O O B-datetime B-weather/attribute O B-location O,weather/find,O O B-datetime B-condition_description O O
test_165_9,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_442_15,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_212_12,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_165_10,weather/find,O O O B-datetime O B-location I-location,weather/find,O O O B-datetime O B-location I-location
test_321_15,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_321_16,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O B-location O
test_259_5,weather/find,O O B-condition_description B-datetime O B-location O,weather/find,O O B-condition_description B-datetime O B-location O
test_402_14,weather/find,O B-condition_temperature O B-location O B-location I-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location I-location O B-datetime I-datetime I-datetime O
test_426_9,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location I-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location I-location
test_321_17,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime I-datetime O I-location O
test_165_11,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_399_11,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_366_15,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O,weather/find,O O B-condition_temperature O B-location B-datetime I-datetime O
test_273_9,weather/find,O O B-location B-location O B-datetime,weather/find,O O O B-location O B-datetime
test_399_12,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_269_12,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_274_9,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O I-party_size_description O B-location O B-datetime I-datetime O
test_269_13,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
test_402_15,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_399_13,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_310_15,weather/find,O O B-condition_temperature I-condition_temperature O O B-location,weather/find,O O O B-condition_temperature O O B-location
test_258_10,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_259_6,weather/find,O O B-condition_description B-datetime O B-location O,weather/find,O O B-condition_description B-datetime O B-location O
test_360_9,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_360_10,weather/find,O O O O B-location B-location B-datetime I-datetime O,weather/find,O O O O O B-location B-datetime I-datetime O
test_165_12,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_402_16,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O,weather/find,O B-condition_temperature O B-location O B-location O B-datetime I-datetime I-datetime O
test_426_10,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_442_16,weather/find,O O O O B-location B-datetime I-datetime O,weather/find,O O O O B-location B-datetime I-datetime O
test_442_17,weather/find,O O O O B-location I-location B-datetime I-datetime O,weather/find,O O O O B-location I-location B-datetime I-datetime O
test_165_13,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_399_14,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_399_15,BookRestaurant,O O O O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O O B-restaurant_type O B-party_size_number O O O O B-location
test_212_13,weather/find,O B-datetime O O B-location,weather/find,O B-datetime O O B-location
test_258_11,weather/find,O O O O B-location O,weather/find,O O O O B-location O
test_321_18,weather/find,O O O O B-datetime O B-location O,weather/find,O O O B-datetime B-datetime O B-location O
test_274_10,BookRestaurant,O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-location O B-datetime I-datetime O,BookRestaurant,O O O B-restaurant_type O O O I-party_size_description O B-location O B-datetime I-datetime O
test_313_9,weather/find,O B-datetime I-datetime I-datetime O B-location,weather/find,O B-datetime I-datetime I-datetime O B-location
test_165_14,weather/find,O O O B-datetime O B-location,weather/find,O O O B-datetime O B-location
test_426_11,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location,BookRestaurant,O O O B-party_size_number O O B-restaurant_type O B-location
test_269_14,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O,BookRestaurant,O O O B-cuisine B-restaurant_type O B-location O
